동별,세대수,인구수,인구수(남),인구수(여),18세이상인구수,18세이상인구수(남),18세이상인구수(여)
복수동,8841,21054,10410,10644,17590,8681,8909
도마1동,9623,18167,9140,9027,16208,8112,8096
도마2동,9383,19222,9563,9659,17078,8439,8639
정림동,6708,14701,7086,7615,13111,6219,6892
변동,6416,12420,6283,6137,11184,5632,5552
괴 정 동,11658,18113,8812,9301,16552,8048,8504
가 장 동,4709,10475,5037,5438,9268,4421,4847
내    동,9414,21838,10405,11433,18893,8949,9944
가수원동,4780,10074,4939,5135,8996,4372,4624
도 안 동,14067,36425,17841,18584,27553,13312,14241
관 저 1동,6694,14545,6759,7786,12685,5799,6886
관 저 2동,19541,47282,22955,24327,38429,18481,19948
기 성 동,1823,3316,1708,1608,3150,1616,1534
용 문 동,9542,17840,8638,9202,15694,7540,8154
탄 방 동,14925,26076,12552,13524,23174,11040,12134
둔산1동,5697,16219,8013,8206,12229,5918,6311
둔산2동,15011,34342,16469,17873,29133,13803,15330
둔산3동,7917,18643,8925,9718,15655,7353,8302
갈마1동,11985,20717,10474,10243,19003,9599,9404
갈마2동,13553,23335,11699,11636,21253,10631,10622
월평1동,7576,11004,5989,5015,10363,5656,4707
월평2동,6701,13261,6268,6993,11858,5575,6283
월평3동,7579,19834,9674,10160,16698,8005,8693
만 년 동,6136,11982,6124,5858,10562,5383,5179
