번호,기준년월,시도코드,시도이름,시군구코드,시군구이름,행정동코드,행정동이름,법정동코드,법정동이름,출생년도,인구수
1,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013200,하기동,1945,36
2,Jan-22,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014100,전민동,1938,43
3,Jan-22,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,1968,206
4,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011600,복용동,2020,14
5,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015000,금탄동,1974,1
6,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020012000,지족동,1954,67
7,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012100,죽동,1984,272
8,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020012000,지족동,1945,64
9,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,1985,59
10,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011300,덕명동,2019,62
11,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,1934,20
12,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동,1973,305
13,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,1964,261
14,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013500,신봉동,1954,2
15,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013300,추목동,2012,57
16,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010300,대정동,1990,46
17,Jan-22,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,1993,269
18,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015300,구룡동,1998,2
19,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015000,금탄동,1968,5
20,Jan-22,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,1954,101
21,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010600,계산동,1980,166
22,Jan-22,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014200,원촌동,2014,5
23,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,1942,16
24,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010300,대정동,1949,22
25,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010800,세동,1938,6
26,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010600,계산동,1955,95
27,Jan-22,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,1937,30
28,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013000,화암동,1967,3
29,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013800,외삼동,1964,13
30,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012200,궁동,2018,12
31,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011600,복용동,1988,19
32,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동,1954,9
33,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014500,봉산동,1965,126
34,Jan-22,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011100,봉명동,1986,177
35,Jan-22,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,1954,127
36,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011500,상대동,2005,287
37,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012600,가정동,2016,12
38,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011800,갑동,1954,8
39,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010900,송정동,2018,1
40,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020012100,죽동,1978,17
41,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010900,송정동,1974,1
42,Jan-22,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014400,용산동,1998,66
43,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동,1936,4
44,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014900,대동,1977,4
45,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015300,구룡동,1951,4
46,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020012000,지족동,1921,1
47,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013200,하기동,1991,101
48,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020013900,반석동,1991,108
49,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013600,수남동,1956,1
50,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010700,성북동,1944,5
51,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013200,하기동,1965,137
52,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020012000,지족동,1992,250
53,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020012000,지족동,1971,279
54,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동,1959,12
55,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,1989,42
56,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011800,갑동,1943,1
57,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011600,복용동,1975,12
58,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동,1997,274
59,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012700,도룡동,2002,67
60,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020012000,지족동,2005,213
61,Jan-22,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014600,관평동,1962,214
62,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010400,용계동,1960,36
63,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011600,복용동,1927,1
64,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013200,하기동,1960,137
65,Jan-22,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014600,관평동,1986,320
66,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010800,세동,1978,2
67,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010500,학하동,1935,6
68,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011600,복용동,1940,1
69,Jan-22,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011400,원신흥동,1993,259
70,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012500,신성동,1957,137
71,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015000,금탄동,1963,4
72,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012700,도룡동,2003,90
73,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013300,추목동,1998,13
74,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020013900,반석동,1977,213
75,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015000,금탄동,1947,1
76,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015300,구룡동,2011,1
77,Jan-22,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014300,탑립동,2007,4
78,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012600,가정동,1969,5
79,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020012100,죽동,1940,1
80,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동,2009,190
81,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013800,외삼동,1986,4
82,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010900,송정동,2000,2
83,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011500,상대동,1963,282
84,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013500,신봉동,1963,8
85,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011600,복용동,1985,18
86,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012100,죽동,1946,12
87,Jan-22,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011100,봉명동,1974,188
88,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013200,하기동,1933,14
89,Jan-22,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014400,용산동,2014,52
90,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010400,용계동,2013,4
91,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012100,죽동,1987,238
92,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,1984,120
93,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013300,추목동,1942,3
94,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,1995,5
95,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020012100,죽동,1920,1
96,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012500,신성동,1999,150
97,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012800,장동,1967,1
98,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013300,추목동,1955,3
99,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013400,자운동,1994,4
100,Jan-22,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014600,관평동,2000,378
101,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,1978,73
102,Jan-22,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014100,전민동,2006,275
103,Jan-22,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014300,탑립동,1968,12
104,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020011700,장대동,1985,176
105,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011800,갑동,1987,3
106,Jan-22,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014000,문지동,1927,1
107,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020013900,반석동,1984,158
108,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014500,봉산동,1952,68
109,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011300,덕명동,1993,120
110,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,1927,1
111,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020012000,지족동,1940,14
112,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012200,궁동,1980,54
113,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013500,신봉동,1972,44
114,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011300,덕명동,1996,159
115,Jan-22,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2013,30
116,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,1962,60
117,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010300,대정동,1954,44
118,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013800,외삼동,2005,2
119,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010800,세동,1956,12
120,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012300,어은동,1952,78
121,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010700,성북동,1985,2
122,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013200,하기동,1940,2
123,Jan-22,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014400,용산동,2011,55
124,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013000,화암동,1972,2
125,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,1936,1
126,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010300,대정동,1999,51
127,Jan-22,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014100,전민동,1939,50
128,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020012100,죽동,1987,12
129,Jan-22,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011100,봉명동,1980,258
130,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015000,금탄동,1958,3
131,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010500,학하동,1992,22
132,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020012000,지족동,2000,95
133,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012100,죽동,1933,5
134,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010400,용계동,1985,17
135,Jan-22,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014000,문지동,1966,33
136,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012100,죽동,1960,148
137,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,1938,14
138,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010700,성북동,2008,3
139,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010700,성북동,1967,8
140,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011300,덕명동,1964,107
141,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020013900,반석동,2007,201
142,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011500,상대동,1965,316
143,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012700,도룡동,2021,62
144,Jan-22,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,2006,35
145,Jan-22,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014100,전민동,2015,219
146,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012100,죽동,2011,86
147,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020011700,장대동,1924,1
148,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011800,갑동,1923,1
149,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010900,송정동,1965,4
150,Jan-22,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014300,탑립동,1964,7
151,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020012100,죽동,1951,3
152,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011600,복용동,1932,2
153,Jan-22,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014000,문지동,1976,69
154,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012100,죽동,1978,149
155,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,1962,225
156,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013000,화암동,1966,3
157,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013400,자운동,1995,2
158,Jan-22,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,1998,164
159,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015300,구룡동,1939,2
160,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013200,하기동,2005,116
161,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011300,덕명동,1997,211
162,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011500,상대동,1946,62
163,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010600,계산동,1989,93
164,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015000,금탄동,2011,1
165,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011300,덕명동,2014,52
166,Jan-22,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011400,원신흥동,1925,1
167,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014500,봉산동,1959,91
168,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010600,계산동,1979,134
