구분,세대수,계,남,여,관리기관명,관리기관전화번호,데이터기준일자
선산읍,6667,13522,6659,6863,경상북도 구미시청,054-480-6767,2025-01-31
고아읍,16013,39004,19516,19488,경상북도 구미시청,054-480-6767,2025-01-31
산동읍,11783,30635,15960,14675,경상북도 구미시청,054-480-6767,2025-01-31
무을면,1040,1756,876,880,경상북도 구미시청,054-480-6767,2025-01-31
옥성면,919,1618,833,785,경상북도 구미시청,054-480-6767,2025-01-31
도개면,1152,2030,1042,988,경상북도 구미시청,054-480-6767,2025-01-31
해평면,2071,3643,1940,1703,경상북도 구미시청,054-480-6767,2025-01-31
장천면,1527,2775,1438,1337,경상북도 구미시청,054-480-6767,2025-01-31
송정동,11383,23375,11395,11980,경상북도 구미시청,054-480-6767,2025-01-31
원평동,5582,9540,5101,4439,경상북도 구미시청,054-480-6767,2025-01-31
지산동,984,1853,961,892,경상북도 구미시청,054-480-6767,2025-01-31
도량동,11808,26821,12962,13859,경상북도 구미시청,054-480-6767,2025-01-31
선주원남동,16819,36632,18649,17983,경상북도 구미시청,054-480-6767,2025-01-31
형곡1동,5652,12691,6229,6462,경상북도 구미시청,054-480-6767,2025-01-31
형곡2동,7279,15235,7558,7677,경상북도 구미시청,054-480-6767,2025-01-31
신평1동,2755,4561,2617,1944,경상북도 구미시청,054-480-6767,2025-01-31
신평2동,1469,2927,1554,1373,경상북도 구미시청,054-480-6767,2025-01-31
비산동,5400,12343,6479,5864,경상북도 구미시청,054-480-6767,2025-01-31
공단동,2063,4004,2235,1769,경상북도 구미시청,054-480-6767,2025-01-31
광평동,2130,4067,2235,1832,경상북도 구미시청,054-480-6767,2025-01-31
상모사곡동,13443,29256,15372,13884,경상북도 구미시청,054-480-6767,2025-01-31
임오동,7425,17316,9047,8269,경상북도 구미시청,054-480-6767,2025-01-31
인동동,23169,45988,24316,21672,경상북도 구미시청,054-480-6767,2025-01-31
진미동,11671,16326,9297,7029,경상북도 구미시청,054-480-6767,2025-01-31
양포동,20165,46477,24567,21910,경상북도 구미시청,054-480-6767,2025-01-31
