연도,행정동,인구수,세대수
2021,양동,3713,2121
2021,양3동,4609,2174
2021,농성1동,11087,6218
2021,농성2동,4926,2944
2021,광천동,8134,4234
2021,유덕동,11102,4898
2021,치평동,30457,13617
2021,상무1동,25015,12183
2021,상무2동,24030,13083
2021,화정1동,15619,8494
2021,화정2동,20643,8006
2021,화정3동,10104,4625
2021,화정4동,15477,6508
2021,서창동,5860,2698
2021,금호1동,20103,8816
2021,금호2동,28619,10554
2021,풍암동,37007,15243
2021,동천동,16332,6392
2022,양동,3450,1976
2022,양3동,4470,2152
2022,농성1동,11331,6409
2022,농성2동,4724,2902
2022,광천동,7696,4063
2022,유덕동,10831,4859
2022,치평동,29615,13518
2022,상무1동,24629,12218
2022,상무2동,23199,12984
2022,화정1동,15555,8523
2022,화정2동,19975,7883
2022,화정3동,9635,4509
2022,화정4동,18921,7956
2022,서창동,5759,2668
2022,금호1동,20083,8972
2022,금호2동,27584,10464
2022,풍암동,35903,15134
2022,동천동,15922,6364
2023,양동,3258,1894
2023,양3동,4325,2125
2023,농성1동,11672,6668
2023,농성2동,4536,2833
2023,광천동,7040,3636
2023,유덕동,10636,4831
2023,치평동,29816,13830
2023,상무1동,24318,12227
2023,상무2동,22820,13034
2023,화정1동,15600,8646
2023,화정2동,19885,7919
2023,화정3동,9268,4409
2023,화정4동,19600,8234
2023,서창동,5784,2666
2023,금호1동,19620,8901
2023,금호2동,27317,10523
2023,풍암동,35260,15087
2023,동천동,15561,6353
