행정기관,인구수(계),인구수(남),인구수(여),구성비(계),구성비(남),구성비(여),성비,세대수,세대당인구
연수구,402152,199040,203112,100,49.49,50.51,98,165292,2.43
옥련1동,17062,8394,8668,4.24,2.09,2.16,96.84,7785,2.19
옥련2동,19111,9390,9721,4.75,2.33,2.42,96.6,7862,2.43
선학동,17682,9128,8554,4.4,2.27,2.13,106.71,8642,2.05
연수1동,16598,9074,7524,4.13,2.26,1.87,120.6,8713,1.9
연수2동,19258,9449,9809,4.79,2.35,2.44,96.33,9596,2.01
연수3동,14574,6931,7643,3.62,1.72,1.9,90.68,7104,2.05
청학동,22212,11576,10636,5.52,2.88,2.64,108.84,11942,1.86
동춘1동,25633,12476,13157,6.37,3.1,3.27,94.82,9596,2.67
동춘2동,16755,8138,8617,4.17,2.02,2.14,94.44,6832,2.45
동춘3동,17557,8530,9027,4.37,2.12,2.24,94.49,5745,3.06
송도1동,37626,18426,19200,9.36,4.58,4.77,95.97,15806,2.38
송도2동,37251,18225,19026,9.26,4.53,4.73,95.79,12381,3.01
송도3동,48300,23558,24742,12.01,5.86,6.15,95.21,19115,2.53
송도4동,46398,22841,23557,11.54,5.68,5.86,96.96,16845,2.75
송도5동,46135,22904,23231,11.47,5.7,5.78,98.59,17328,2.66
