행정기관명,동명,연령,성별구분,인구수
부산광역시 해운대구,우제1동,0세 - 9세,남,635
부산광역시 해운대구,우제1동,0세 - 9세,여,665
부산광역시 해운대구,우제1동,10세 - 19세,남,945
부산광역시 해운대구,우제1동,10세 - 19세,여,914
부산광역시 해운대구,우제1동,20세 - 29세,남,"1,200"
부산광역시 해운대구,우제1동,20세 - 29세,여,"1,275"
부산광역시 해운대구,우제1동,30세 - 39세,남,"1,500"
부산광역시 해운대구,우제1동,30세 - 39세,여,"1,560"
부산광역시 해운대구,우제1동,40세 - 49세,남,"1,749"
부산광역시 해운대구,우제1동,40세 - 49세,여,"1,855"
부산광역시 해운대구,우제1동,50세 - 59세,남,"1,907"
부산광역시 해운대구,우제1동,50세 - 59세,여,"2,131"
부산광역시 해운대구,우제1동,60세 - 69세,남,"1,712"
부산광역시 해운대구,우제1동,60세 - 69세,여,"2,047"
부산광역시 해운대구,우제1동,70세 - 79세,남,"1,090"
부산광역시 해운대구,우제1동,70세 - 79세,여,"1,302"
부산광역시 해운대구,우제1동,80세 - 89세,남,412
부산광역시 해운대구,우제1동,80세 - 89세,여,589
부산광역시 해운대구,우제1동,90세 - 99세,남,43
부산광역시 해운대구,우제1동,90세 - 99세,여,109
부산광역시 해운대구,우제1동,100세 - 109세,남,1
부산광역시 해운대구,우제1동,100세 - 109세,여,2
부산광역시 해운대구,우제1동,110세 이상,남,0
부산광역시 해운대구,우제1동,110세 이상,여,0
부산광역시 해운대구,우제2동,0세 - 9세,남,"1,178"
부산광역시 해운대구,우제2동,0세 - 9세,여,"1,102"
부산광역시 해운대구,우제2동,10세 - 19세,남,"1,676"
부산광역시 해운대구,우제2동,10세 - 19세,여,"1,476"
부산광역시 해운대구,우제2동,20세 - 29세,남,"1,406"
부산광역시 해운대구,우제2동,20세 - 29세,여,"1,346"
부산광역시 해운대구,우제2동,30세 - 39세,남,"1,519"
부산광역시 해운대구,우제2동,30세 - 39세,여,"1,766"
부산광역시 해운대구,우제2동,40세 - 49세,남,"2,214"
부산광역시 해운대구,우제2동,40세 - 49세,여,"2,543"
부산광역시 해운대구,우제2동,50세 - 59세,남,"2,445"
부산광역시 해운대구,우제2동,50세 - 59세,여,"2,903"
부산광역시 해운대구,우제2동,60세 - 69세,남,"2,054"
부산광역시 해운대구,우제2동,60세 - 69세,여,"2,318"
부산광역시 해운대구,우제2동,70세 - 79세,남,"1,116"
부산광역시 해운대구,우제2동,70세 - 79세,여,"1,368"
부산광역시 해운대구,우제2동,80세 - 89세,남,443
부산광역시 해운대구,우제2동,80세 - 89세,여,668
부산광역시 해운대구,우제2동,90세 - 99세,남,43
부산광역시 해운대구,우제2동,90세 - 99세,여,125
부산광역시 해운대구,우제2동,100세 - 109세,남,0
부산광역시 해운대구,우제2동,100세 - 109세,여,5
부산광역시 해운대구,우제2동,110세 이상,남,0
부산광역시 해운대구,우제2동,110세 이상,여,0
부산광역시 해운대구,우제3동,0세 - 9세,남,"1,206"
부산광역시 해운대구,우제3동,0세 - 9세,여,"1,152"
부산광역시 해운대구,우제3동,10세 - 19세,남,"1,653"
부산광역시 해운대구,우제3동,10세 - 19세,여,"1,607"
부산광역시 해운대구,우제3동,20세 - 29세,남,"1,166"
부산광역시 해운대구,우제3동,20세 - 29세,여,"1,108"
부산광역시 해운대구,우제3동,30세 - 39세,남,"1,224"
부산광역시 해운대구,우제3동,30세 - 39세,여,"1,516"
부산광역시 해운대구,우제3동,40세 - 49세,남,"2,216"
부산광역시 해운대구,우제3동,40세 - 49세,여,"2,625"
부산광역시 해운대구,우제3동,50세 - 59세,남,"2,155"
부산광역시 해운대구,우제3동,50세 - 59세,여,"2,527"
부산광역시 해운대구,우제3동,60세 - 69세,남,"1,977"
부산광역시 해운대구,우제3동,60세 - 69세,여,"2,287"
부산광역시 해운대구,우제3동,70세 - 79세,남,"1,102"
부산광역시 해운대구,우제3동,70세 - 79세,여,"1,244"
부산광역시 해운대구,우제3동,80세 - 89세,남,432
부산광역시 해운대구,우제3동,80세 - 89세,여,557
부산광역시 해운대구,우제3동,90세 - 99세,남,45
부산광역시 해운대구,우제3동,90세 - 99세,여,111
부산광역시 해운대구,우제3동,100세 - 109세,남,3
부산광역시 해운대구,우제3동,100세 - 109세,여,5
부산광역시 해운대구,우제3동,110세 이상,남,0
부산광역시 해운대구,우제3동,110세 이상,여,0
부산광역시 해운대구,중제1동,0세 - 9세,남,920
부산광역시 해운대구,중제1동,0세 - 9세,여,891
부산광역시 해운대구,중제1동,10세 - 19세,남,"1,294"
부산광역시 해운대구,중제1동,10세 - 19세,여,"1,240"
부산광역시 해운대구,중제1동,20세 - 29세,남,"1,438"
부산광역시 해운대구,중제1동,20세 - 29세,여,"1,458"
부산광역시 해운대구,중제1동,30세 - 39세,남,"1,553"
부산광역시 해운대구,중제1동,30세 - 39세,여,"1,715"
부산광역시 해운대구,중제1동,40세 - 49세,남,"2,075"
부산광역시 해운대구,중제1동,40세 - 49세,여,"2,368"
부산광역시 해운대구,중제1동,50세 - 59세,남,"2,311"
부산광역시 해운대구,중제1동,50세 - 59세,여,"2,598"
부산광역시 해운대구,중제1동,60세 - 69세,남,"1,828"
부산광역시 해운대구,중제1동,60세 - 69세,여,"2,060"
부산광역시 해운대구,중제1동,70세 - 79세,남,971
부산광역시 해운대구,중제1동,70세 - 79세,여,"1,169"
부산광역시 해운대구,중제1동,80세 - 89세,남,423
부산광역시 해운대구,중제1동,80세 - 89세,여,629
부산광역시 해운대구,중제1동,90세 - 99세,남,35
부산광역시 해운대구,중제1동,90세 - 99세,여,76
부산광역시 해운대구,중제1동,100세 - 109세,남,0
부산광역시 해운대구,중제1동,100세 - 109세,여,2
부산광역시 해운대구,중제1동,110세 이상,남,0
부산광역시 해운대구,중제1동,110세 이상,여,1
부산광역시 해운대구,중제2동,0세 - 9세,남,471
부산광역시 해운대구,중제2동,0세 - 9세,여,530
부산광역시 해운대구,중제2동,10세 - 19세,남,636
부산광역시 해운대구,중제2동,10세 - 19세,여,571
부산광역시 해운대구,중제2동,20세 - 29세,남,672
부산광역시 해운대구,중제2동,20세 - 29세,여,610
부산광역시 해운대구,중제2동,30세 - 39세,남,920
부산광역시 해운대구,중제2동,30세 - 39세,여,970
부산광역시 해운대구,중제2동,40세 - 49세,남,"1,239"
부산광역시 해운대구,중제2동,40세 - 49세,여,"1,238"
부산광역시 해운대구,중제2동,50세 - 59세,남,"1,247"
부산광역시 해운대구,중제2동,50세 - 59세,여,"1,403"
부산광역시 해운대구,중제2동,60세 - 69세,남,"1,213"
부산광역시 해운대구,중제2동,60세 - 69세,여,"1,448"
부산광역시 해운대구,중제2동,70세 - 79세,남,612
부산광역시 해운대구,중제2동,70세 - 79세,여,789
부산광역시 해운대구,중제2동,80세 - 89세,남,215
부산광역시 해운대구,중제2동,80세 - 89세,여,306
부산광역시 해운대구,중제2동,90세 - 99세,남,23
부산광역시 해운대구,중제2동,90세 - 99세,여,57
부산광역시 해운대구,중제2동,100세 - 109세,남,0
부산광역시 해운대구,중제2동,100세 - 109세,여,4
부산광역시 해운대구,중제2동,110세 이상,남,0
부산광역시 해운대구,중제2동,110세 이상,여,0
부산광역시 해운대구,좌제1동,0세 - 9세,남,445
부산광역시 해운대구,좌제1동,0세 - 9세,여,411
부산광역시 해운대구,좌제1동,10세 - 19세,남,911
부산광역시 해운대구,좌제1동,10세 - 19세,여,887
부산광역시 해운대구,좌제1동,20세 - 29세,남,"1,053"
부산광역시 해운대구,좌제1동,20세 - 29세,여,"1,178"
부산광역시 해운대구,좌제1동,30세 - 39세,남,996
부산광역시 해운대구,좌제1동,30세 - 39세,여,"1,043"
부산광역시 해운대구,좌제1동,40세 - 49세,남,"1,104"
부산광역시 해운대구,좌제1동,40세 - 49세,여,"1,432"
부산광역시 해운대구,좌제1동,50세 - 59세,남,"1,490"
부산광역시 해운대구,좌제1동,50세 - 59세,여,"1,741"
부산광역시 해운대구,좌제1동,60세 - 69세,남,"1,088"
부산광역시 해운대구,좌제1동,60세 - 69세,여,"1,215"
부산광역시 해운대구,좌제1동,70세 - 79세,남,496
부산광역시 해운대구,좌제1동,70세 - 79세,여,658
부산광역시 해운대구,좌제1동,80세 - 89세,남,266
부산광역시 해운대구,좌제1동,80세 - 89세,여,496
부산광역시 해운대구,좌제1동,90세 - 99세,남,36
부산광역시 해운대구,좌제1동,90세 - 99세,여,71
부산광역시 해운대구,좌제1동,100세 - 109세,남,1
부산광역시 해운대구,좌제1동,100세 - 109세,여,1
부산광역시 해운대구,좌제1동,110세 이상,남,0
부산광역시 해운대구,좌제1동,110세 이상,여,0
부산광역시 해운대구,좌제2동,0세 - 9세,남,716
부산광역시 해운대구,좌제2동,0세 - 9세,여,711
부산광역시 해운대구,좌제2동,10세 - 19세,남,"1,231"
부산광역시 해운대구,좌제2동,10세 - 19세,여,"1,244"
부산광역시 해운대구,좌제2동,20세 - 29세,남,"1,830"
부산광역시 해운대구,좌제2동,20세 - 29세,여,"2,031"
부산광역시 해운대구,좌제2동,30세 - 39세,남,"2,112"
부산광역시 해운대구,좌제2동,30세 - 39세,여,"2,099"
부산광역시 해운대구,좌제2동,40세 - 49세,남,"1,899"
부산광역시 해운대구,좌제2동,40세 - 49세,여,"2,316"
부산광역시 해운대구,좌제2동,50세 - 59세,남,"2,307"
부산광역시 해운대구,좌제2동,50세 - 59세,여,"3,079"
부산광역시 해운대구,좌제2동,60세 - 69세,남,"2,225"
부산광역시 해운대구,좌제2동,60세 - 69세,여,"2,499"
부산광역시 해운대구,좌제2동,70세 - 79세,남,976
부산광역시 해운대구,좌제2동,70세 - 79세,여,"1,324"
부산광역시 해운대구,좌제2동,80세 - 89세,남,453
부산광역시 해운대구,좌제2동,80세 - 89세,여,738
부산광역시 해운대구,좌제2동,90세 - 99세,남,54
부산광역시 해운대구,좌제2동,90세 - 99세,여,145
부산광역시 해운대구,좌제2동,100세 - 109세,남,2
부산광역시 해운대구,좌제2동,100세 - 109세,여,5
부산광역시 해운대구,좌제2동,110세 이상,남,0
부산광역시 해운대구,좌제2동,110세 이상,여,0
부산광역시 해운대구,좌제3동,0세 - 9세,남,391
부산광역시 해운대구,좌제3동,0세 - 9세,여,378
부산광역시 해운대구,좌제3동,10세 - 19세,남,781
부산광역시 해운대구,좌제3동,10세 - 19세,여,686
부산광역시 해운대구,좌제3동,20세 - 29세,남,778
부산광역시 해운대구,좌제3동,20세 - 29세,여,705
부산광역시 해운대구,좌제3동,30세 - 39세,남,752
