구분 ,인구수(계) ,인구수(남),인구수(여),세대수 ,18세이상 인구수(계) ,18세이상 인구수(남) ,18세이상 인구수(여) ,65세이상 인구수(계) ,65세이상 인구수(남),65세이상 인구수(여),통(리)수 ,반수 ,면적(제곱킬로미터) ,통(리)평균-반수,통(리)평균-세대수,반평균-세대수
구포1동,14670,7348,7322,7881,13440,6723,6717,4180,1907,2273,24,109,1.15,4.541666667,328.5416667,72.33944954
구포2동,22673,11611,11062,11314,20677,10553,10124,6065,2851,3214,34,170,2.91,5,333.3529412,66.67058824
구포3동,16996,8700,8296,8715,15764,8054,7710,4797,2246,2551,30,136,1.47,4.533333333,291.1,64.21323529
금곡동,34070,16347,17723,17463,30969,14754,16215,10653,4611,6042,38,219,8.12,5.763157895,459.7631579,79.77625571
화명1동,38785,18916,19869,14294,32598,15745,16853,6490,3181,3309,27,140,4.73,5.185185185,529.8888889,102.1928571
화명2동,16557,8016,8541,7224,14519,6944,7575,3663,1634,2029,15,87,5.03,5.8,481.6,83.03448276
화명3동,27821,13490,14331,10807,23577,11315,12262,4989,2233,2756,16,94,2.48,5.875,673.75,114.6808511
덕천1동,13807,6768,7039,7523,12643,6171,6472,4016,1712,2304,19,95,1.44,5,393.7894737,78.75789474
덕천2동,10567,5285,5282,6346,10001,4997,5004,3352,1451,1901,19,100,2.32,5.263157895,335.5789474,63.76
덕천3동,9362,4558,4804,5265,8733,4237,4496,3188,1316,1872,17,85,0.95,5,311,62.2
만덕1동,15819,7673,8146,6994,13687,6584,7103,3706,1702,2004,17,75,4.76,4.411764706,412.4117647,93.48
만덕2동,25567,12401,13166,11002,22053,10579,11474,6202,2801,3401,28,145,2.25,5.178571429,392.1071429,75.71724138
만덕3동,16862,8032,8830,7238,15174,7170,8004,4953,2243,2710,15,88,1.76,5.866666667,482.1333333,82.18181818
