구분,인구수(계),남(인구수),여(인구수),18세이상(계),남(18세이상인구수),여(18세이상인구수),65세이상(계),남(65세이상인구수),여(65세이상인구수),세대수,통(리)수,면적(km)
서 1 동,4132,2139,1993,4028,2086,1942,1732,762,970,2624,14,0.36
서 2 동,7851,3943,3908,7375,3704,3671,2814,1280,1534,4413,15,0.4
서 3 동,9718,4828,4890,9221,4562,4659,3672,1611,2061,5467,18,0.92
금사회동동,6754,3489,3265,6430,3322,3108,2653,1256,1397,3883,15,5.5
부곡1동,7102,3413,3689,6663,3167,3496,2808,1136,1672,4117,14,0.71
부곡2동,16540,7811,8729,14872,6959,7913,4138,1794,2344,7740,21,1.2
부곡3동,14516,6861,7655,12898,6057,6841,3608,1544,2064,6793,17,8.23
부곡4동,11395,5395,6000,10609,4986,5623,3840,1604,2236,5877,16,0.67
장전1동,17761,9311,8450,16394,8641,7753,3049,1319,1730,11584,19,3.28
장전2동,26206,12586,13620,21973,10355,11618,5330,2251,3079,11842,26,2.74
선두구동,1968,1040,928,1887,997,890,825,398,427,1121,10,12.05
청룡노포동,9049,4394,4655,8246,3974,4272,3167,1410,1757,4346,11,10.91
남 산 동,25487,12440,13047,23782,11570,12212,7677,3345,4332,13552,34,3.64
구서1동,18237,8572,9665,15915,7454,8461,4232,1860,2372,7858,21,3.03
구서2동,30350,14492,15858,26565,12622,13943,7711,3417,4294,13126,30,3.19
금 성 동,889,436,453,789,388,401,310,142,168,448,3,8.43
