구분,총인구(계),총인구(남),총인구(여),내국인(계),내국인(남),내국인(여),외국인(계),외국인(남),외국인(여),19세이상(내국)계,19세이상(내국)남 ,19세이상(내국)여,65세이상(내국)계,65세이상(내국)남,65세이상(내국)여,세대(내국인)
주덕읍,8809,4689,4120,8027,4082,3945,782,607,175,7317,3706,3611,2177,964,1213,4336
살미면,1935,999,936,1897,974,923,38,25,13,1830,939,891,980,477,503,1073
수안보면,2781,1382,1399,2738,1368,1370,43,14,29,2607,1303,1304,1297,583,714,1585
대소원면,10791,6298,4493,9789,5621,4168,1002,677,325,8779,5088,3691,2000,970,1030,6036
신니면,3039,1640,1399,2668,1379,1289,371,261,110,2599,1350,1249,1379,633,746,1568
노은면,2265,1191,1074,2157,1109,1048,108,82,26,2073,1054,1019,1171,552,619,1229
앙성면,3951,2082,1869,3837,1994,1843,114,88,26,3711,1919,1792,1897,906,991,2310
중앙탑면,14916,7724,7192,14640,7557,7083,276,167,109,11250,5840,5410,1767,805,962,6420
금가면,3917,2170,1747,3798,2073,1725,119,97,22,3377,1877,1500,1024,466,558,1921
동량면,3459,1803,1656,3365,1731,1634,94,72,22,3188,1645,1543,1582,743,839,1848
산척면,2268,1199,1069,2157,1114,1043,111,85,26,2079,1070,1009,1088,526,562,1259
엄정면,3069,1601,1468,2954,1517,1437,115,84,31,2807,1423,1384,1515,714,801,1639
소태면,1902,996,906,1829,949,880,73,47,26,1736,898,838,967,470,497,1035
성내충인동,2491,1228,1263,2396,1183,1213,95,45,50,2202,1093,1109,924,383,541,1436
교현안림동,22116,10909,11207,21901,10813,11088,215,96,119,18812,9233,9579,5167,2206,2961,10097
교현2동,6412,3184,3228,6123,3034,3089,289,150,139,5591,2772,2819,2080,886,1194,3477
용산동,13913,6809,7104,13826,6780,7046,87,29,58,11491,5571,5920,2593,1121,1472,6049
지현동,4880,2406,2474,4823,2390,2433,57,16,41,4303,2120,2183,1505,649,856,2449
문화동,8874,4457,4417,8623,4311,4312,251,146,105,7935,3961,3974,3075,1363,1712,4579
호암직동,22159,11048,11111,22054,11005,11049,105,43,62,17489,8662,8827,2646,1157,1489,9669
달천동,4867,2661,2206,4042,2148,1894,825,513,312,3903,2071,1832,1346,627,719,2720
봉방동,9506,4954,4552,9155,4766,4389,351,188,163,8192,4273,3919,2375,1072,1303,4921
칠금금릉동,13702,6706,6996,13463,6606,6857,239,100,139,11532,5614,5918,2687,1137,1550,6243
연수동,34945,17340,17605,34546,17161,17385,399,179,220,29896,14776,15120,7189,3117,4072,17277
목행용탄동,6594,3647,2947,6144,3236,2908,450,411,39,5239,2755,2484,1185,542,643,2849
