구분,세대수,계,남자,여자,행정리명,기준일자
금산읍,77,147,79,68,신대1,2025-10-31
금산읍,122,214,114,100,신대2,2025-10-31
금산읍,96,177,87,90,중도1,2025-10-31
금산읍,81,134,67,67,중도2,2025-10-31
금산읍,160,319,157,162,중도3,2025-10-31
금산읍,177,338,169,169,중도4,2025-10-31
금산읍,124,240,118,122,중도5,2025-10-31
금산읍,159,301,145,156,중도6,2025-10-31
금산읍,451,889,437,452,중도7,2025-10-31
금산읍,276,533,275,258,중도8,2025-10-31
금산읍,192,370,170,200,중도9,2025-10-31
금산읍,275,566,281,285,중도10,2025-10-31
금산읍,100,161,85,76,하옥1,2025-10-31
금산읍,104,177,87,90,하옥2,2025-10-31
금산읍,402,797,386,411,하옥3,2025-10-31
금산읍,238,375,189,186,하옥4,2025-10-31
금산읍,198,369,187,182,상1,2025-10-31
금산읍,45,79,38,41,상2,2025-10-31
금산읍,180,357,172,185,상3,2025-10-31
금산읍,441,796,392,404,상4,2025-10-31
금산읍,262,518,262,256,상5,2025-10-31
금산읍,208,379,178,201,상6,2025-10-31
금산읍,393,822,399,423,상7,2025-10-31
금산읍,210,459,222,237,아인1,2025-10-31
금산읍,308,804,393,411,아인2,2025-10-31
금산읍,403,857,445,412,아인3,2025-10-31
금산읍,98,201,107,94,상옥1,2025-10-31
금산읍,236,409,195,214,상옥2,2025-10-31
금산읍,185,370,175,195,상옥3,2025-10-31
금산읍,161,313,155,158,상옥4,2025-10-31
금산읍,88,162,77,85,상옥5,2025-10-31
금산읍,142,255,131,124,계진,2025-10-31
금산읍,97,202,99,103,음지1,2025-10-31
금산읍,58,104,54,50,음지2,2025-10-31
금산읍,589,1357,670,687,양지1,2025-10-31
금산읍,77,124,67,57,양지2,2025-10-31
금산읍,553,1228,578,650,상8,2025-10-31
금산읍,814,1489,677,812,상9,2025-10-31
금산읍,548,1133,516,617,상10,2025-10-31
금산읍,592,1405,709,696,중도11,2025-10-31
금산읍,718,1913,982,931,아인4,2025-10-31
금산읍,135,281,138,143,아인5,2025-10-31
금산읍,39,70,39,31,신대3,2025-10-31
금산읍,50,91,48,43,음지3,2025-10-31
금성면,88,169,89,80,양전1,2025-10-31
금성면,71,139,72,67,양전2,2025-10-31
금성면,89,162,88,74,양전3,2025-10-31
