읍면동,세대수,총인구수,내국인남성,내국인여성,외국인남성,외국인여성,기준일
장호원읍,6949,15045,7247,7059,442,297,2025-03-20
부 발 읍,17232,37898,19743,17220,537,398,2025-03-20
신 둔 면,6745,14878,7254,6501,735,388,2025-03-20
백 사 면,5541,13411,6114,5929,1063,305,2025-03-20
호 법 면,3089,6551,3078,2636,503,334,2025-03-20
마 장 면,8216,17217,8723,7351,784,359,2025-03-20
대 월 면,7967,15329,7752,7006,386,185,2025-03-20
모 가 면,2253,4916,2224,1846,620,226,2025-03-20
설 성 면,2441,5072,2353,2011,474,234,2025-03-20
율     면,1417,2928,1290,1173,240,225,2025-03-20
창 전 동,8383,16915,7957,7646,693,619,2025-03-20
증 포 동,21198,56820,28043,28169,278,330,2025-03-20
중 리 동,8827,16071,8676,6540,462,393,2025-03-20
관 고 동,5343,11538,5578,5301,353,306,2025-03-20
