읍면,리,총인구수,남자수,여자수,세대수,데이터기준일자
울진읍,읍내1리,801,375,426,394,2024-12-31
울진읍,읍내2리,1391,708,683,628,2024-12-31
울진읍,읍내3리,3369,1698,1671,1616,2024-12-31
울진읍,읍내4리,1079,532,547,502,2024-12-31
울진읍,읍내5리,1965,1002,963,868,2024-12-31
울진읍,읍남1리,223,117,106,116,2024-12-31
울진읍,읍남2리,163,93,70,71,2024-12-31
울진읍,읍남3리,86,35,51,49,2024-12-31
울진읍,읍남4리,185,95,90,99,2024-12-31
울진읍,연지1리,360,178,182,171,2024-12-31
울진읍,연지2리,935,472,463,424,2024-12-31
울진읍,연지3리,172,84,88,93,2024-12-31
울진읍,온양1리,163,90,73,95,2024-12-31
울진읍,온양2리,246,135,111,167,2024-12-31
울진읍,명도1리,128,66,62,73,2024-12-31
울진읍,명도2리,80,41,39,44,2024-12-31
울진읍,고성1리,145,72,73,87,2024-12-31
울진읍,고성2리,122,61,61,64,2024-12-31
울진읍,고성3리,1112,556,556,357,2024-12-31
울진읍,호월1리,98,49,49,60,2024-12-31
울진읍,호월2리,86,43,43,51,2024-12-31
울진읍,호월3리,99,55,44,47,2024-12-31
울진읍,정림1리,57,29,28,40,2024-12-31
울진읍,정림2리,49,27,22,30,2024-12-31
울진읍,정림3리,38,21,17,25,2024-12-31
울진읍,신림리,138,72,66,87,2024-12-31
울진읍,대흥리,84,45,39,66,2024-12-31
평해읍,평해1리,317,146,171,195,2024-12-31
평해읍,평해2리,230,121,109,137,2024-12-31
평해읍,평해3리,259,126,133,161,2024-12-31
평해읍,학곡1리,73,35,38,48,2024-12-31
평해읍,학곡2리,109,57,52,70,2024-12-31
평해읍,삼달1리,109,44,65,71,2024-12-31
평해읍,삼달2리,75,36,39,42,2024-12-31
평해읍,오곡1리,82,42,40,50,2024-12-31
평해읍,오곡2리,94,47,47,60,2024-12-31
평해읍,월송1리,240,113,127,160,2024-12-31
평해읍,월송2리,68,29,39,45,2024-12-31
평해읍,월송3리,227,109,118,135,2024-12-31
평해읍,직산1리,102,47,55,65,2024-12-31
평해읍,직산2리,215,110,105,138,2024-12-31
평해읍,거일1리,102,52,50,71,2024-12-31
평해읍,거일2리,194,82,112,128,2024-12-31
북면,부구1리,827,402,425,489,2024-12-31
북면,부구2리,707,416,291,449,2024-12-31
북면,부구3리,356,190,166,202,2024-12-31
북면,나곡1리,379,204,175,205,2024-12-31
북면,나곡2리,111,59,52,65,2024-12-31
북면,나곡3리,151,89,62,100,2024-12-31
북면,나곡4리,89,39,50,52,2024-12-31
북면,나곡5리,2943,1621,1322,1174,2024-12-31
북면,나곡6리,33,21,12,23,2024-12-31
북면,검성리,73,37,36,47,2024-12-31
북면,주인1리,169,92,77,95,2024-12-31
북면,주인2리,62,35,27,43,2024-12-31
북면,주인3리,40,19,21,27,2024-12-31
북면,덕구1리,113,55,58,74,2024-12-31
북면,덕구2리,125,63,62,74,2024-12-31
북면,상당리,109,61,48,78,2024-12-31
북면,두천1리,42,23,19,27,2024-12-31
북면,두천2리,128,68,60,86,2024-12-31
북면,하당리,378,193,185,267,2024-12-31
북면,사계1리,60,33,27,41,2024-12-31
북면,사계2리,134,62,72,73,2024-12-31
북면,소곡1리,57,26,31,43,2024-12-31
북면,소곡2리,59,35,24,30,2024-12-31
북면,신화1리,131,68,63,83,2024-12-31
북면,신화2리,43,23,20,32,2024-12-31
북면,고목1리,69,37,32,38,2024-12-31
북면,고목2리,83,40,43,57,2024-12-31
북면,고목3리,60,31,29,35,2024-12-31
근남면,노음1리,472,238,234,248,2024-12-31
근남면,노음2리,176,91,85,98,2024-12-31
근남면,노음3리,180,96,84,105,2024-12-31
근남면,수산리,317,168,149,169,2024-12-31
근남면,행곡1리,109,59,50,67,2024-12-31
근남면,행곡2리,50,29,21,33,2024-12-31
근남면,행곡3리,60,31,29,35,2024-12-31
근남면,행곡4리,37,17,20,24,2024-12-31
근남면,수곡1리,100,48,52,58,2024-12-31
근남면,수곡2리,123,66,57,68,2024-12-31
근남면,구산1리,146,82,64,89,2024-12-31
근남면,구산2리,42,23,19,29,2024-12-31
근남면,구산3리,84,48,36,54,2024-12-31
근남면,구산4리,71,31,40,41,2024-12-31
근남면,진복1리,112,51,61,72,2024-12-31
근남면,진복2리,78,38,40,48,2024-12-31
근남면,산포1리,204,99,105,116,2024-12-31
근남면,산포2리,116,61,55,78,2024-12-31
근남면,산포3리,118,64,54,78,2024-12-31
근남면,산포4리,102,47,55,55,2024-12-31
기성면,척산1리,40,22,18,31,2024-12-31
기성면,척산2리,187,93,94,131,2024-12-31
기성면,척산3리,109,70,39,85,2024-12-31
기성면,기성리,231,102,129,144,2024-12-31
기성면,사동1리,108,53,55,72,2024-12-31
기성면,사동2리,87,34,53,55,2024-12-31
기성면,사동3리,99,47,52,61,2024-12-31
기성면,망양1리,96,42,54,69,2024-12-31
기성면,망양2리,99,44,55,60,2024-12-31
기성면,삼산1리,48,25,23,33,2024-12-31
기성면,삼산2리,36,22,14,30,2024-12-31
기성면,방율리,52,28,24,38,2024-12-31
기성면,이평1리,32,17,15,18,2024-12-31
기성면,이평2리,20,10,10,16,2024-12-31
기성면,다천1리,58,24,34,38,2024-12-31
기성면,다천2리,57,30,27,36,2024-12-31
기성면,정명1리,113,59,54,74,2024-12-31
기성면,정명2리,56,33,23,41,2024-12-31
기성면,황보1리,86,42,44,52,2024-12-31
기성면,황보2리,70,38,32,44,2024-12-31
기성면,구산1리,146,66,80,91,2024-12-31
기성면,구산2리,301,152,149,195,2024-12-31
기성면,봉산1리,115,53,62,83,2024-12-31
기성면,봉산2리,72,33,39,55,2024-12-31
온정면,소태1리,280,145,135,171,2024-12-31
온정면,소태2리,140,75,65,71,2024-12-31
온정면,소태3리,18,9,9,14,2024-12-31
온정면,온정1리,180,88,92,100,2024-12-31
온정면,온정2리,37,15,22,21,2024-12-31
온정면,조금1리,52,30,22,43,2024-12-31
온정면,조금2리,41,20,21,29,2024-12-31
온정면,덕산1리,46,23,23,34,2024-12-31
온정면,덕산2리,23,9,14,16,2024-12-31
온정면,덕산3리,22,7,15,18,2024-12-31
온정면,덕인1리,66,34,32,39,2024-12-31
온정면,덕인2리,20,12,8,14,2024-12-31
온정면,덕인3리,30,14,16,24,2024-12-31
온정면,금천1리,86,44,42,53,2024-12-31
온정면,금천2리,79,35,44,50,2024-12-31
온정면,금천3리,35,19,16,27,2024-12-31
온정면,광품1리,59,29,30,39,2024-12-31
온정면,광품2리,55,26,29,33,2024-12-31
온정면,선구1리,85,34,51,51,2024-12-31
온정면,선구2리,76,36,40,48,2024-12-31
온정면,외선미1,65,31,34,46,2024-12-31
온정면,외선미2,52,26,26,34,2024-12-31
죽변면,죽변1리,503,255,248,280,2024-12-31
죽변면,죽변2리,484,236,248,326,2024-12-31
죽변면,죽변3리,683,339,344,403,2024-12-31
죽변면,죽변4리,433,227,206,288,2024-12-31
죽변면,죽변5리,1029,566,463,617,2024-12-31
죽변면,후정1리,1518,825,693,816,2024-12-31
죽변면,후정2리,73,42,31,48,2024-12-31
죽변면,후정3리,420,209,211,275,2024-12-31
죽변면,후정4리,88,49,39,44,2024-12-31
죽변면,화성1리,86,42,44,59,2024-12-31
죽변면,화성2리,74,29,45,46,2024-12-31
죽변면,화성3리,86,43,43,57,2024-12-31
죽변면,화성4리,62,26,36,39,2024-12-31
죽변면,봉평1리,174,91,83,108,2024-12-31
죽변면,봉평2리,366,188,178,214,2024-12-31
후포면,후포1리,302,155,147,193,2024-12-31
후포면,후포2리,303,134,169,200,2024-12-31
후포면,후포3리,103,53,50,65,2024-12-31
후포면,후포4리,387,184,203,250,2024-12-31
후포면,후포5리,728,344,354,427,2024-12-31
후포면,후포6리,316,152,164,202,2024-12-31
후포면,후포7리,492,251,241,315,2024-12-31
후포면,삼율1리,1430,700,730,756,2024-12-31
후포면,삼율2리,1310,636,674,727,2024-12-31
후포면,삼율3리,115,57,58,75,2024-12-31
후포면,삼율4리,864,442,422,432,2024-12-31
후포면,금음1리,292,150,142,165,2024-12-31
후포면,금음2리,91,48,43,40,2024-12-31
후포면,금음3리,194,105,89,116,2024-12-31
후포면,금음4리,53,25,28,33,2024-12-31
금강송면,삼근1리,204,95,109,143,2024-12-31
금강송면,삼근2리,110,55,55,66,2024-12-31
금강송면,하원리,98,38,60,42,2024-12-31
금강송면,왕피1리,118,53,65,79,2024-12-31
금강송면,왕피2리,186,91,95,129,2024-12-31
금강송면,쌍전1리,74,42,32,52,2024-12-31
금강송면,쌍전2리,32,19,13,20,2024-12-31
금강송면,소광1리,68,38,30,43,2024-12-31
금강송면,소광2리,61,35,26,44,2024-12-31
금강송면,전곡리,58,30,28,38,2024-12-31
금강송면,광회1리,72,36,36,49,2024-12-31
금강송면,광회2리,107,57,50,62,2024-12-31
매화면,매화1리,381,183,198,239,2024-12-31
매화면,매화2리,129,68,61,79,2024-12-31
매화면,금매1리,60,28,32,38,2024-12-31
매화면,금매2리,79,40,39,57,2024-12-31
매화면,오산1리,138,62,76,90,2024-12-31
매화면,오산2리,77,33,44,46,2024-12-31
매화면,오산3리,94,42,52,72,2024-12-31
매화면,덕신1리,249,120,129,144,2024-12-31
매화면,덕신2리,33,16,17,25,2024-12-31
매화면,신흥1리,90,40,50,51,2024-12-31
매화면,신흥2리,81,42,39,53,2024-12-31
매화면,기양1리,123,68,55,74,2024-12-31
매화면,기양2리,80,38,42,48,2024-12-31
매화면,기양3리,77,38,39,46,2024-12-31
매화면,갈면리,148,72,76,92,2024-12-31
매화면,길곡리,80,31,49,53,2024-12-31
