행정구역,인구수,남자인구수,여자인구수,0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80-89세,90-99세,100-109세,110세 이상
봉담읍,110181,55825,54356,10466,12188,11953,18660,19663,16990,11981,5586,2254,420,19,1
우정읍,16823,9338,7485,455,1242,1519,1394,2232,3530,3443,1879,939,189,1,0
향남읍,85439,46031,39408,6439,10971,9953,12544,17044,13887,8604,3911,1773,309,4,0
남양읍,60247,32598,27649,4917,5024,7054,10567,9720,9526,8147,3498,1484,304,6,0
매송면,6227,3330,2897,127,290,547,607,588,1203,1523,829,450,61,2,0
비봉면,16079,8844,7235,1386,747,1454,3886,2196,2135,2440,1164,546,123,2,0
마도면,6533,3931,2602,125,290,517,630,805,1275,1596,798,421,75,1,0
송산면,10366,5700,4666,278,617,747,787,1132,1960,2422,1425,818,175,5,0
서신면,7017,3904,3113,108,264,386,494,643,1264,2064,1102,559,132,1,0
팔탄면,9236,5618,3618,169,332,707,829,993,1975,2457,1076,591,105,2,0
장안면,9297,5378,3919,228,485,698,723,1005,1820,2267,1305,641,122,3,0
양감면,3757,2343,1414,63,122,272,320,401,716,1034,514,255,58,2,0
정남면,10292,6033,4259,221,503,925,994,1191,2092,2400,1218,607,138,3,0
새솔동,27075,13626,13449,3827,3873,2081,4165,6234,3818,2324,546,171,36,0,0
진안동,49724,26907,22817,4688,4346,6309,9952,9258,7342,4691,2125,875,136,1,1
병점1동,36021,18497,17524,2652,3631,5708,6151,5891,5629,3645,1860,749,101,4,0
병점2동,22162,10713,11449,1138,3361,3077,2253,3960,4268,2189,1232,602,81,1,0
반월동,37284,18822,18462,4224,4844,3595,6859,7436,5088,3533,1215,411,77,2,0
기배동,15674,7873,7801,1029,1745,1944,1872,2497,3028,2083,1011,390,71,4,0
화산동,27726,14633,13093,1851,2253,3313,4072,4352,4944,4060,1931,834,114,2,0
동탄1동,50020,25733,24287,4265,6515,7430,9144,9206,8017,3540,1303,510,89,1,0
동탄2동,33960,16603,17357,2320,6385,3947,3105,7258,6226,2812,1268,564,74,1,0
동탄3동,39950,20588,19362,3345,5415,5842,7308,7612,5673,2648,1376,643,87,1,0
동탄4동,52793,26386,26407,5942,10275,4537,6829,13020,7850,3025,943,315,56,1,0
동탄5동,48144,24246,23898,5054,5565,5146,10664,9733,5935,3562,1769,618,96,2,0
동탄6동,46161,23577,22584,4738,5815,6699,9082,9100,6395,2898,992,386,56,0,0
동탄7동,57230,28784,28446,6460,8189,5332,10659,12760,7350,4346,1611,439,82,2,0
동탄8동,37448,18787,18661,5844,4741,2569,7759,9004,3860,2446,897,262,65,1,0
동탄9동,55300,27763,27537,7445,6954,5399,11846,11792,6483,3714,1254,349,63,1,0
