행정동,세대수(세대),인구수(명),남자인구수(명),여자인구수(명),구전체 인구에 대한 구성비(퍼센트)
신정1동,9575,17541,8839,8702,5.77
신정2동,10363,25386,12845,12541,8.34
신정3동,7615,15547,7897,7650,5.11
신정4동,8339,19423,9755,9668,6.38
신정5동,4709,8287,4461,3826,2.72
달동,13953,25738,13155,12583,8.46
삼산동,24392,47346,25210,22136,15.56
삼호동,9863,20011,10172,9839,6.58
무거동,14633,30764,15886,14878,10.11
옥동,9951,24769,12354,12415,8.14
야음장생포동,4438,8467,4483,3984,2.78
대현동,12794,32229,16145,16084,10.59
수암동,5975,15668,7820,7848,5.15
선암동,5900,13057,6701,6356,4.29
