기준시점,시군구,읍면동,세대수,등록인구,등록인구 남,등록인구 여,한국인,한국인 남,한국인 여,외국인,외국인 남,외국인 여,세대당인구,65세이상 고령자
2012,용인시 처인구,포곡읍,12063,33236,17031,16205,32507,16600,15907,729,431,298,2.7,2967
2012,용인시 처인구,모현읍,9361,24210,13002,11208,23122,12235,10887,1088,767,321,2.5,2682
2012,용인시 처인구,이동읍,7917,21429,10974,10455,20507,10328,10179,922,646,276,2.6,2505
2012,용인시 처인구,남사면,3101,7943,4391,3552,7184,3798,3386,759,593,166,2.3,1544
2012,용인시 처인구,원삼면,3252,8096,4306,3790,7653,3964,3689,443,342,101,2.4,1571
2012,용인시 처인구,백암면,4099,9780,5184,4596,9287,4796,4491,493,388,105,2.3,1951
2012,용인시 처인구,양지면,6296,16035,8493,7542,15564,8149,7415,471,344,127,2.5,1871
2012,용인시 처인구,중앙동,9986,25741,12982,12759,24559,12372,12187,1182,610,572,2.5,2478
2012,용인시 처인구,역삼동,8801,23615,11918,11697,23131,11696,11435,484,222,262,2.6,1760
2012,용인시 처인구,유림동,11560,33289,16963,16326,32895,16772,16123,394,191,203,2.8,2352
2012,용인시 처인구,동부동,5500,14499,7339,7160,14115,7143,6972,384,196,188,2.6,1354
2012,용인시 기흥구,신갈동,12900,34911,17484,17427,34015,17022,16993,896,462,434,2.6,3169
2012,용인시 기흥구,영덕동,13948,40292,20039,20253,40016,19913,20103,276,126,150,2.9,2531
2012,용인시 기흥구,구갈동,11306,28365,14273,14092,27507,13856,13651,858,417,441,2.4,1879
2012,용인시 기흥구,상갈동,17046,47124,23538,23586,46643,23303,23340,481,235,246,2.7,4210
2012,용인시 기흥구,기흥동,7449,19919,9961,9958,19702,9834,9868,217,127,90,2.6,1835
2012,용인시 기흥구,서농동,6465,14474,7220,7254,13492,6714,6778,982,506,476,2.1,721
2012,용인시 기흥구,구성동,13681,39405,19211,20194,39247,19154,20093,158,57,101,2.9,4250
2012,용인시 기흥구,마북동,11083,31549,15627,15922,31385,15539,15846,164,88,76,2.8,3900
