연도,읍면명,법정동명,세대수,총인원수,남자수,여자수,데이터기준일자
2008,화순읍,감도리1반,65,144,78,66,2025-07-31
2008,화순읍,감도리2반,44,103,53,50,2025-07-31
2008,화순읍,감도리3반,20,50,25,25,2025-07-31
2008,화순읍,강정리1반,7,14,8,6,2025-07-31
2008,화순읍,계소리1반,166,466,233,233,2025-07-31
2008,화순읍,계소리2반,22,37,19,18,2025-07-31
2008,화순읍,계소리3반,49,114,55,59,2025-07-31
2008,화순읍,계소리4반,266,674,348,326,2025-07-31
2008,화순읍,광덕리1반,323,820,401,419,2025-07-31
2008,화순읍,광덕리2반,208,562,298,264,2025-07-31
2008,화순읍,광덕리3반,71,192,103,89,2025-07-31
2008,화순읍,광덕리4반,542,1759,852,907,2025-07-31
2008,화순읍,광덕리5반,432,1379,656,723,2025-07-31
2008,화순읍,교리1반,368,902,463,439,2025-07-31
2008,화순읍,교리2반,524,1680,828,852,2025-07-31
2008,화순읍,교리3반,186,493,258,235,2025-07-31
2008,화순읍,내평리1반,118,281,149,132,2025-07-31
2008,화순읍,다지리1반,83,264,135,129,2025-07-31
2008,화순읍,다지리2반,71,163,76,87,2025-07-31
2008,화순읍,대리1반,262,597,292,305,2025-07-31
2008,화순읍,대리2반,66,164,74,90,2025-07-31
2008,화순읍,대리3반,52,149,79,70,2025-07-31
2008,화순읍,대리4반,95,231,116,115,2025-07-31
2008,화순읍,대리5반,411,1150,575,575,2025-07-31
2008,화순읍,대리6반,375,1267,617,650,2025-07-31
2008,화순읍,대리7반,393,883,399,484,2025-07-31
2008,화순읍,도웅리1반,79,161,75,86,2025-07-31
2008,화순읍,도웅리2반,27,48,22,26,2025-07-31
2008,화순읍,동구리1반,39,81,39,42,2025-07-31
2008,화순읍,만연리1반,135,355,183,172,2025-07-31
2008,화순읍,만연리2반,160,391,204,187,2025-07-31
2008,화순읍,만연리3반,848,2487,1182,1305,2025-07-31
2008,화순읍,만연리4반,515,1644,792,852,2025-07-31
2008,화순읍,만연리5반,1027,2641,1277,1364,2025-07-31
2008,화순읍,만연리6반,866,2416,1186,1230,2025-07-31
2008,화순읍,벽라리1반,105,237,120,117,2025-07-31
2008,화순읍,벽라리2반,142,326,160,166,2025-07-31
2008,화순읍,벽라리3반,398,1194,606,588,2025-07-31
2008,화순읍,삼천리1반,108,251,123,128,2025-07-31
2008,화순읍,삼천리2반,80,204,113,91,2025-07-31
2008,화순읍,삼천리3반,27,59,33,26,2025-07-31
2008,화순읍,삼천리4반,290,719,391,328,2025-07-31
2008,화순읍,서태리1반,84,199,113,86,2025-07-31
2008,화순읍,서태리2반,61,106,49,57,2025-07-31
2008,화순읍,세량리1반,48,104,56,48,2025-07-31
2008,화순읍,수만리1반,37,71,37,34,2025-07-31
2008,화순읍,수만리2반,28,58,35,23,2025-07-31
2008,화순읍,수만리3반,55,109,62,47,2025-07-31
2008,화순읍,신기리1반,443,1077,566,511,2025-07-31
2008,화순읍,신기리2반,1248,3616,1802,1814,2025-07-31
2008,화순읍,신기리3반,223,561,282,279,2025-07-31
2008,화순읍,앵남리1반,48,93,51,42,2025-07-31
2008,화순읍,앵남리2반,73,135,70,65,2025-07-31
2008,화순읍,연양리1반,50,114,61,53,2025-07-31
2008,화순읍,연양리2반,86,201,106,95,2025-07-31
2008,화순읍,유천리1반,46,112,61,51,2025-07-31
2008,화순읍,유천리2반,48,127,63,64,2025-07-31
2008,화순읍,유천리3반,41,92,43,49,2025-07-31
2008,화순읍,이십곡리,76,174,82,92,2025-07-31
2008,화순읍,이십곡리,38,92,46,46,2025-07-31
2008,화순읍,일심리1반,175,455,225,230,2025-07-31
2008,화순읍,일심리2반,50,107,58,49,2025-07-31
2008,화순읍,일심리3반,39,104,62,42,2025-07-31
2008,화순읍,일심리4반,442,1253,607,646,2025-07-31
2008,화순읍,일심리5반,561,1533,770,763,2025-07-31
2008,화순읍,일심리6반,668,2210,1068,1142,2025-07-31
2008,화순읍,주도리1반,39,65,34,31,2025-07-31
2008,화순읍,주도리2반,66,124,60,64,2025-07-31
2008,화순읍,주도리3반,48,102,50,52,2025-07-31
2008,화순읍,향청리1반,301,729,396,333,2025-07-31
2008,화순읍,훈리1반,213,501,247,254,2025-07-31
2008,한천면,모산1,105,219,110,109,2025-07-31
2008,한천면,모산2,27,43,24,19,2025-07-31
2008,한천면,금전리,86,160,72,88,2025-07-31
2008,한천면,한계1,103,231,119,112,2025-07-31
2008,한천면,한계2,58,130,64,66,2025-07-31
2008,한천면,정리1,22,36,21,15,2025-07-31
2008,한천면,정리2,27,75,37,38,2025-07-31
2008,한천면,가암1,35,68,36,32,2025-07-31
2008,한천면,가암2,40,68,31,37,2025-07-31
2008,한천면,오음1,42,107,52,55,2025-07-31
2008,한천면,오음2,28,62,34,28,2025-07-31
2008,한천면,오음3,36,56,32,24,2025-07-31
2008,한천면,반곡1,34,62,32,30,2025-07-31
2008,한천면,반곡2,39,78,39,39,2025-07-31
2008,한천면,평리,51,119,61,58,2025-07-31
2008,한천면,정우리,43,85,41,44,2025-07-31
2008,한천면,동가1,71,136,65,71,2025-07-31
2008,한천면,동가2,42,90,43,47,2025-07-31
2008,한천면,고시리,7,14,9,5,2025-07-31
2008,춘양면,석정리,248,542,279,263,2025-07-31
2008,춘양면,화림리1,33,68,29,39,2025-07-31
2008,춘양면,화림리2,54,106,59,47,2025-07-31
2008,춘양면,화림리3,36,67,29,38,2025-07-31
2008,춘양면,대신리1,39,76,42,34,2025-07-31
2008,춘양면,대신리2,23,40,18,22,2025-07-31
2008,춘양면,대신리3,30,52,29,23,2025-07-31
2008,춘양면,회송리1,37,65,29,36,2025-07-31
2008,춘양면,회송리2,29,60,36,24,2025-07-31
2008,춘양면,양곡리1,54,115,59,56,2025-07-31
2008,춘양면,용곡리1,50,86,39,47,2025-07-31
2008,춘양면,월평리1,43,93,39,54,2025-07-31
2008,춘양면,월평리2,29,50,25,25,2025-07-31
2008,춘양면,월평리3,16,29,15,14,2025-07-31
2008,춘양면,변천리1,54,111,52,59,2025-07-31
2008,춘양면,가동리1,12,18,10,8,2025-07-31
2008,춘양면,산간리1,58,122,55,67,2025-07-31
2008,춘양면,가봉리1,73,153,77,76,2025-07-31
2008,춘양면,용두리1,46,78,35,43,2025-07-31
2008,춘양면,우봉리1,82,247,101,146,2025-07-31
2008,춘양면,부곡리1,27,57,24,33,2025-07-31
2008,춘양면,부곡리2,34,73,36,37,2025-07-31
2008,춘양면,부곡리3,26,51,29,22,2025-07-31
2008,청풍면,풍암리1,80,159,79,80,2025-07-31
2008,청풍면,한지리1,40,78,42,36,2025-07-31
2008,청풍면,한지리2,27,56,22,34,2025-07-31
