읍면별,총인구,남자인구,여자인구,세대수,세대당인구,데이터기준일자
장성군,42518,21881,20637,23353,1.82,2024-12-16
장성읍,13343,6587,6756,6802,1.96,2024-12-16
진원면,3613,1857,1756,1809,2,2024-12-16
남면,3635,2011,1624,2257,1.61,2024-12-16
동화면,1804,958,846,1099,1.64,2024-12-16
삼서면,3062,1643,1419,1761,1.74,2024-12-16
삼계면,5518,2933,2585,2852,1.93,2024-12-16
황룡면,3918,2014,1904,2223,1.76,2024-12-16
서삼면,1475,771,704,868,1.7,2024-12-16
북일면,1349,680,669,822,1.64,2024-12-16
북이면,2709,1344,1365,1549,1.75,2024-12-16
북하면,2092,1083,1009,1311,1.6,2024-12-16
